15.a8|[1, 1, 1, 35, -28]|[8]
21.a3|[1, 0, 0, -39, 90]|[8]
42.a5|[1, 1, 1, -4, 5]|[8]
48.a6|[0, 1, 0, 16, 180]|[8]
102.c5|[1, 0, 0, -34, 68]|[8]
210.e4|[1, 0, 0, -15070, 710612]|[8]
210.e7|[1, 0, 0, 210, 900]|[8]
336.d2|[0, 1, 0, -14624, 669300]|[8]
690.k5|[1, 0, 0, -420, 3600]|[8]
714.f5|[1, 1, 1, -70244, 7127525]|[8]
930.o4|[1, 0, 0, -3700, 67232]|[8]
966.g2|[1, 1, 1, -17714, 900047]|[8]
1230.f7|[1, 1, 1, -4890, 129447]|[8]
1680.q3|[0, 1, 0, -15680, 949428]|[8]
1680.p1|[0, 1, 0, -24400, 1458548]|[8]
1785.e5|[1, 0, 0, -1785, 194922]|[8]
1974.h5|[1, 0, 0, -6864, 223488]|[8]
2370.j6|[1, 1, 1, -53200, 4740785]|[8]
2730.w6|[1, 1, 1, -33200, 216426017]|[8]
4074.k6|[1, 0, 0, -11764, 95888]|[8]
4080.ba1|[0, 1, 0, -1815520, 940954100]|[8]
4305.f5|[1, 0, 0, -74715, 11825442]|[8]
4746.h4|[1, 0, 0, -758204, 254047248]|[8]
4794.c2|[1, 1, 1, -5199564, 4561336557]|[8]
4830.bj6|[1, 0, 0, -75340, -876400]|[8]
5334.d4|[1, 0, 0, -501584, 4323840]|[8]
5712.o1|[0, 1, 0, -219497664, 1251605773620]|[8]
6006.bb6|[1, 0, 0, 83616, -29981952]|[8]
6279.f2|[1, 0, 0, -487459, 130953890]|[8]
6510.r5|[1, 1, 1, 19890, 2056587]|[8]
6510.bb5|[1, 0, 0, -770, 168900]|[8]
7455.b4|[1, 0, 0, -61935, 2279322]|[8]
7755.e2|[1, 0, 0, -507905, 139280202]|[8]
7854.p5|[1, 0, 0, 46376, 5353040]|[8]
8778.q4|[1, 0, 0, -1376354, 574634820]|[8]
8778.r5|[1, 0, 0, -19780894, 35071900868]|[8]
10416.ba3|[0, 1, 0, -5229824, 4664605620]|[8]
10626.p6|[1, 0, 0, 104216, 1671488]|[8]
13530.v4|[1, 0, 0, -681440, 216441600]|[8]
14790.bd5|[1, 0, 0, -7211820, -15000206688]|[8]
15330.bd4|[1, 0, 0, -91720, 10683200]|[8]
15834.s2|[1, 0, 0, -1267501974, 17368693069860]|[8]
16590.z2|[1, 0, 0, -5286260, 4677673872]|[8]
16863.a5|[1, 1, 1, -700819, 260298722]|[8]
18354.p6|[1, 1, 1, -10025014, -89725079245]|[8]
18480.cs6|[0, 1, 0, 169140960, -1647270873612]|[8]
18480.bf1|[0, -1, 0, -1684880, 842323872]|[8]
18480.cx3|[0, 1, 0, -31967600, 69942010548]|[8]
18690.l5|[1, 1, 1, -43400, 3397385]|[8]
19635.j7|[1, 0, 0, 1473815, 1598551322]|[8]
21840.cc6|[0, 1, 0, 2215520, 406906100]|[8]
23430.i5|[1, 0, 0, 1270, 36988452]|[8]
28560.dq6|[0, 1, 0, 306000, -3608168652]|[8]
28560.cc3|[0, -1, 0, -493680, 139658400]|[8]
28560.ds1|[0, 1, 0, -27881280, 56655935028]|[8]
28770.bu5|[1, 0, 0, -480960, 128044800]|[8]
29274.bj6|[1, 0, 0, -8956224, 10322546688]|[8]
32835.d4|[1, 0, 0, -2664575, -382443750]|[8]
33915.e2|[1, 1, 1, -32132715, 70094879130]|[8]
34086.g6|[1, 0, 0, 3170986, -3277701852]|[8]
38640.cw1|[0, 1, 0, -678160, 208646900]|[8]
39270.cd4|[1, 1, 1, -1652910, 784094187]|[8]
39270.ct6|[1, 0, 0, -269700, 54090000]|[8]
40170.s2|[1, 0, 0, -3563930, 2587780452]|[8]
46410.ck3|[1, 0, 0, -139015370, 630861993012]|[8]
46410.cn4|[1, 0, 0, -5764349630, 168450516120900]|[8]
46410.ck7|[1, 0, 0, -298010, 293238372]|[8]
46830.w6|[1, 1, 1, -3277120, 2284517345]|[8]
47586.n5|[1, 0, 0, -183854, 42452868]|[8]
48477.d5|[1, 0, 0, -3831009, 3072336570]|[8]
53130.bu4|[1, 1, 1, -3981110, 3055748915]|[8]
54285.i2|[1, 0, 0, -16747777795, 834224265216962]|[8]
58854.m6|[1, 0, 0, -9961944, -8118585792]|[8]
58890.q5|[1, 0, 0, -810270, 331848900]|[8]
