a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
1	55	99	125	0	1	55	99	125	0	1	0	0	0
2	4	23	46	0	2	4	23	46	1	1	0	0	0
2	110	198	250	0	1	55	99	125	0	1	0	0	0
3	165	297	375	0	1	55	99	125	0	1	0	0	0
4	8	46	92	0	2	4	23	46	1	1	0	0	0
4	11	16	44	0	4	11	16	44	1	1	0	0	0
6	12	69	138	0	2	4	23	46	1	1	0	0	0
7	13	203	377	0	7	13	203	377	1	1	0	0	0
8	15	192	360	0	8	15	192	360	1	1	0	0	0
8	16	92	184	0	2	4	23	46	1	1	0	0	0
8	17	64	136	0	8	17	64	136	1	1	0	0	0
8	22	32	88	0	4	11	16	44	1	1	0	0	0
9	21	51	119	0	9	21	51	119	1	1	0	0	0
10	20	115	230	0	2	4	23	46	1	1	0	0	0
11	33	39	117	0	11	33	39	117	1	1	0	0	0
12	24	138	276	0	2	4	23	46	1	1	0	0	0
12	33	48	132	0	4	11	16	44	1	1	0	0	0
13	27	117	243	0	13	27	117	243	1	1	0	0	0
14	28	161	322	0	2	4	23	46	1	1	0	0	0
14	36	63	162	0	14	36	63	162	1	1	0	0	0
16	32	184	368	0	2	4	23	46	1	1	0	0	0
16	34	128	272	0	8	17	64	136	1	1	0	0	0
16	44	64	176	0	4	11	16	44	1	1	0	0	0
18	39	132	286	0	18	39	132	286	1	1	0	0	0
18	42	102	238	0	9	21	51	119	1	1	0	0	0
18	57	60	190	0	18	57	60	190	1	1	0	0	0
20	48	105	252	0	20	48	105	252	1	1	0	0	0
20	55	80	220	0	4	11	16	44	1	1	0	0	0
20	225	304	380	0	20	225	304	380	0	1	0	0	0
22	66	78	234	0	11	33	39	117	1	1	0	0	0
24	66	96	264	0	4	11	16	44	1	1	0	0	0
26	65	124	310	0	26	65	124	310	1	1	0	0	0
27	63	153	357	0	9	21	51	119	1	1	0	0	0
28	72	126	324	0	14	36	63	162	1	1	0	0	0
28	77	112	308	0	4	11	16	44	1	1	0	0	0
29	71	145	355	0	29	71	145	355	1	1	0	0	0
32	88	128	352	0	4	11	16	44	1	1	0	0	0
33	99	117	351	0	11	33	39	117	1	1	0	0	0
36	99	144	396	0	4	11	16	44	1	1	0	0	0
36	114	120	380	0	18	57	60	190	1	1	0	0	0
