prime	torsion_coset	m	n	ord_g1	ord_g2	state	t
23	1	0	0	16	8	3	inf
23	1	0	1	16	8	2	19
23	1	0	2	16	8	3	inf
23	1	0	5	16	8	2	19
23	1	1	0	16	8	2	21
23	1	1	1	16	8	2	21
23	1	2	0	16	8	2	19
23	1	2	3	16	8	3	inf
23	1	2	4	16	8	2	19
23	1	2	5	16	8	3	inf
23	1	3	3	16	8	2	21
23	1	3	4	16	8	2	21
23	1	4	0	16	8	3	inf
23	1	4	3	16	8	2	19
23	1	4	6	16	8	3	inf
23	1	4	7	16	8	2	19
23	1	5	6	16	8	2	21
23	1	5	7	16	8	2	21
23	1	6	1	16	8	3	inf
23	1	6	2	16	8	2	19
23	1	6	3	16	8	3	inf
23	1	6	6	16	8	2	19
23	1	7	1	16	8	2	21
23	1	7	2	16	8	2	21
23	1	8	1	16	8	2	19
23	1	8	4	16	8	3	inf
23	1	8	5	16	8	2	19
23	1	8	6	16	8	3	inf
23	1	9	4	16	8	2	21
23	1	9	5	16	8	2	21
23	1	10	0	16	8	2	19
23	1	10	1	16	8	3	inf
23	1	10	4	16	8	2	19
23	1	10	7	16	8	3	inf
23	1	11	0	16	8	2	21
23	1	11	7	16	8	2	21
23	1	12	2	16	8	3	inf
23	1	12	3	16	8	2	19
23	1	12	4	16	8	3	inf
23	1	12	7	16	8	2	19
23	1	13	2	16	8	2	21
23	1	13	3	16	8	2	21
23	1	14	2	16	8	2	19
23	1	14	5	16	8	3	inf
23	1	14	6	16	8	2	19
23	1	14	7	16	8	3	inf
23	1	15	5	16	8	2	21
23	1	15	6	16	8	2	21
23	2	0	1	16	8	2	4
23	2	0	5	16	8	2	4
23	2	1	0	16	8	2	2
23	2	1	1	16	8	2	2
23	2	2	0	16	8	2	4
23	2	2	4	16	8	2	4
23	2	3	3	16	8	2	2
23	2	3	4	16	8	2	2
23	2	4	3	16	8	2	4
23	2	4	7	16	8	2	4
23	2	5	6	16	8	2	2
23	2	5	7	16	8	2	2
23	2	6	2	16	8	2	4
23	2	6	6	16	8	2	4
23	2	7	1	16	8	2	2
23	2	7	2	16	8	2	2
23	2	8	1	16	8	2	4
23	2	8	5	16	8	2	4
23	2	9	4	16	8	2	2
23	2	9	5	16	8	2	2
23	2	10	0	16	8	2	4
23	2	10	4	16	8	2	4
23	2	11	0	16	8	2	2
23	2	11	7	16	8	2	2
23	2	12	3	16	8	2	4
23	2	12	7	16	8	2	4
23	2	13	2	16	8	2	2
23	2	13	3	16	8	2	2
23	2	14	2	16	8	2	4
23	2	14	6	16	8	2	4
23	2	15	5	16	8	2	2
23	2	15	6	16	8	2	2
61	1	0	0	68	34	3	inf
61	1	0	2	68	34	3	34
61	1	0	4	68	34	3	inf
61	1	0	11	68	34	3	27
61	1	0	19	68	34	3	27
61	1	0	28	68	34	3	34
61	1	1	0	68	34	2	32
61	1	1	1	68	34	2	32
61	1	1	4	68	34	2	54
61	1	1	9	68	34	3	0
61	1	1	14	68	34	2	7
61	1	1	17	68	34	2	29
61	1	1	18	68	34	2	29
61	1	1	21	68	34	2	7
61	1	1	26	68	34	3	0
61	1	1	31	68	34	2	54
61	1	2	5	68	34	3	inf
61	1	2	7	68	34	3	34
61	1	2	9	68	34	3	inf
61	1	2	16	68	34	3	27
61	1	2	24	68	34	3	27
61	1	2	33	68	34	3	34
61	1	3	2	68	34	2	54
61	1	3	5	68	34	2	32
61	1	3	6	68	34	2	32
61	1	3	9	68	34	2	54
61	1	3	14	68	34	3	0
61	1	3	19	68	34	2	7
61	1	3	22	68	34	2	29
61	1	3	23	68	34	2	29
61	1	3	26	68	34	2	7
61	1	3	31	68	34	3	0
61	1	4	4	68	34	3	34
61	1	4	10	68	34	3	inf
61	1	4	12	68	34	3	34
61	1	4	14	68	34	3	inf
61	1	4	21	68	34	3	27
61	1	4	29	68	34	3	27
61	1	5	2	68	34	3	0
61	1	5	7	68	34	2	54
61	1	5	10	68	34	2	32
61	1	5	11	68	34	2	32
61	1	5	14	68	34	2	54
61	1	5	19	68	34	3	0
61	1	5	24	68	34	2	7
61	1	5	27	68	34	2	29
61	1	5	28	68	34	2	29
61	1	5	31	68	34	2	7
61	1	6	0	68	34	3	27
61	1	6	9	68	34	3	34
61	1	6	15	68	34	3	inf
61	1	6	17	68	34	3	34
61	1	6	19	68	34	3	inf
61	1	6	26	68	34	3	27
61	1	7	2	68	34	2	7
61	1	7	7	68	34	3	0
61	1	7	12	68	34	2	54
61	1	7	15	68	34	2	32
61	1	7	16	68	34	2	32
61	1	7	19	68	34	2	54
61	1	7	24	68	34	3	0
61	1	7	29	68	34	2	7
61	1	7	32	68	34	2	29
61	1	7	33	68	34	2	29
61	1	8	5	68	34	3	27
61	1	8	14	68	34	3	34
61	1	8	20	68	34	3	inf
61	1	8	22	68	34	3	34
61	1	8	24	68	34	3	inf
61	1	8	31	68	34	3	27
61	1	9	0	68	34	2	7
61	1	9	3	68	34	2	29
61	1	9	4	68	34	2	29
61	1	9	7	68	34	2	7
61	1	9	12	68	34	3	0
61	1	9	17	68	34	2	54
61	1	9	20	68	34	2	32
61	1	9	21	68	34	2	32
61	1	9	24	68	34	2	54
61	1	9	29	68	34	3	0
61	1	10	2	68	34	3	27
61	1	10	10	68	34	3	27
61	1	10	19	68	34	3	34
61	1	10	25	68	34	3	inf
61	1	10	27	68	34	3	34
61	1	10	29	68	34	3	inf
61	1	11	0	68	34	3	0
61	1	11	5	68	34	2	7
61	1	11	8	68	34	2	29
61	1	11	9	68	34	2	29
61	1	11	12	68	34	2	7
61	1	11	17	68	34	3	0
61	1	11	22	68	34	2	54
61	1	11	25	68	34	2	32
61	1	11	26	68	34	2	32
61	1	11	29	68	34	2	54
61	1	12	0	68	34	3	inf
61	1	12	7	68	34	3	27
61	1	12	15	68	34	3	27
61	1	12	24	68	34	3	34
61	1	12	30	68	34	3	inf
61	1	12	32	68	34	3	34
61	1	13	0	68	34	2	54
61	1	13	5	68	34	3	0
61	1	13	10	68	34	2	7
61	1	13	13	68	34	2	29
61	1	13	14	68	34	2	29
61	1	13	17	68	34	2	7
61	1	13	22	68	34	3	0
61	1	13	27	68	34	2	54
61	1	13	30	68	34	2	32
61	1	13	31	68	34	2	32
61	1	14	1	68	34	3	inf
61	1	14	3	68	34	3	34
61	1	14	5	68	34	3	inf
61	1	14	12	68	34	3	27
61	1	14	20	68	34	3	27
61	1	14	29	68	34	3	34
61	1	15	1	68	34	2	32
61	1	15	2	68	34	2	32
61	1	15	5	68	34	2	54
61	1	15	10	68	34	3	0
61	1	15	15	68	34	2	7
61	1	15	18	68	34	2	29
61	1	15	19	68	34	2	29
61	1	15	22	68	34	2	7
61	1	15	27	68	34	3	0
61	1	15	32	68	34	2	54
61	1	16	0	68	34	3	34
61	1	16	6	68	34	3	inf
61	1	16	8	68	34	3	34
61	1	16	10	68	34	3	inf
61	1	16	17	68	34	3	27
61	1	16	25	68	34	3	27
61	1	17	3	68	34	2	54
61	1	17	6	68	34	2	32
61	1	17	7	68	34	2	32
61	1	17	10	68	34	2	54
61	1	17	15	68	34	3	0
61	1	17	20	68	34	2	7
61	1	17	23	68	34	2	29
61	1	17	24	68	34	2	29
61	1	17	27	68	34	2	7
61	1	17	32	68	34	3	0
61	1	18	5	68	34	3	34
61	1	18	11	68	34	3	inf
61	1	18	13	68	34	3	34
61	1	18	15	68	34	3	inf
61	1	18	22	68	34	3	27
61	1	18	30	68	34	3	27
61	1	19	3	68	34	3	0
61	1	19	8	68	34	2	54
61	1	19	11	68	34	2	32
61	1	19	12	68	34	2	32
61	1	19	15	68	34	2	54
61	1	19	20	68	34	3	0
61	1	19	25	68	34	2	7
61	1	19	28	68	34	2	29
61	1	19	29	68	34	2	29
61	1	19	32	68	34	2	7
61	1	20	1	68	34	3	27
61	1	20	10	68	34	3	34
61	1	20	16	68	34	3	inf
61	1	20	18	68	34	3	34
61	1	20	20	68	34	3	inf
61	1	20	27	68	34	3	27
61	1	21	0	68	34	2	29
61	1	21	3	68	34	2	7
61	1	21	8	68	34	3	0
61	1	21	13	68	34	2	54
61	1	21	16	68	34	2	32
61	1	21	17	68	34	2	32
61	1	21	20	68	34	2	54
61	1	21	25	68	34	3	0
61	1	21	30	68	34	2	7
61	1	21	33	68	34	2	29
61	1	22	6	68	34	3	27
61	1	22	15	68	34	3	34
61	1	22	21	68	34	3	inf
61	1	22	23	68	34	3	34
61	1	22	25	68	34	3	inf
61	1	22	32	68	34	3	27
61	1	23	1	68	34	2	7
61	1	23	4	68	34	2	29
61	1	23	5	68	34	2	29
61	1	23	8	68	34	2	7
61	1	23	13	68	34	3	0
